,precision,recall,accuracy,sort_type,datestring,noise_level
24,0.9518632723160814,0.9555835771646294,0.9120309084925868,EMUsort,20250812_180031475701,0.25
21,0.9541732089406224,0.9402709670446446,0.8998682929578512,EMUsort,20250812_180030684707,0.25
0,0.941506674455885,0.9436220240641819,0.8913309805378307,EMUsort,20250812_175950224469,0.25
6,0.9401884814507582,0.9403871325628606,0.8873695160782107,EMUsort,20250812_175953502850,0.25
4,0.9442650366056904,0.936035799105275,0.8872226019898521,EMUsort,20250812_175953264432,0.25
14,0.9221554177516484,0.9532415406533843,0.8822301708573541,EMUsort,20250812_180029293244,0.25
15,0.9483236413989703,0.9214565572629801,0.8783158315924509,EMUsort,20250812_180029317683,0.25
8,0.9282360492064454,0.9356594282407615,0.8735594635963142,EMUsort,20250812_175953920678,0.25
5,0.9194840912419341,0.9422253866698724,0.8714015484820361,EMUsort,20250812_175953476743,0.25
16,0.9028642395333776,0.9502349705556303,0.8620363318190668,EMUsort,20250812_180030002423,0.25
11,0.9067247780235046,0.9388546223604651,0.8572790373612926,EMUsort,20250812_175954442416,0.25
17,0.9033307656180275,0.9429356768231291,0.8557133778341918,EMUsort,20250812_180030040578,0.25
13,0.8825469340924798,0.9478766900011296,0.8392743466304037,EMUsort,20250812_180029253997,0.25
19,0.911872573055283,0.9018877142967197,0.8306624204204283,EMUsort,20250812_180030632684,0.25
26,0.9038374175168116,0.9007876920716216,0.8210073902439529,Kilosort4,20250812_200638018830,0.25
46,0.9154284730164857,0.8836186833685487,0.81660266394711,Kilosort4,20250812_200719223400,0.25
45,0.8798491346466492,0.8809604817087358,0.7851477508819034,Kilosort4,20250812_200718813873,0.25
35,0.8819599856975999,0.8780055199608139,0.7843780564911509,Kilosort4,20250812_200640761232,0.25
12,0.8538578396980043,0.9027473974561232,0.7838829436422593,EMUsort,20250812_175954502553,0.25
2,0.9379229773340793,0.8250483413738119,0.7806158625865118,EMUsort,20250812_175952048627,0.25
33,0.8843403980603892,0.8562197013965015,0.7711882174580866,Kilosort4,20250812_200640359700,0.25
9,0.8534750586534088,0.8644745863500092,0.7684052441344829,EMUsort,20250812_175954347336,0.25
3,0.8864955859902747,0.8472492103915336,0.7665511956005518,EMUsort,20250812_175952686222,0.25
47,0.8818418155938478,0.8462355464927336,0.7644843139364521,Kilosort4,20250812_200719687581,0.25
44,0.8329136216502642,0.8946219418804651,0.7582378189857342,Kilosort4,20250812_200718686086,0.25
34,0.8632535613499078,0.8564263567947787,0.7541827769781305,Kilosort4,20250812_200640705606,0.25
27,0.8301444413547475,0.8901092073108519,0.7537185731606451,Kilosort4,20250812_200638833445,0.25
25,0.8767869200681556,0.8358332337803513,0.7510704106658606,Kilosort4,20250812_200635433387,0.25
42,0.8122440623020764,0.8491164976345246,0.7180207912084925,Kilosort4,20250812_200717961285,0.25
1,0.8132312254470921,0.8383052668484077,0.7135259490252422,EMUsort,20250812_175952009918,0.25
29,0.8644352853185605,0.8060018961692643,0.711406084592584,Kilosort4,20250812_200639216170,0.25
48,0.887916383500374,0.7794287264497866,0.7108951001644981,Kilosort4,20250812_200720300823,0.25
31,0.8092922223602133,0.8492534930389992,0.7106222539402827,Kilosort4,20250812_200640236632,0.25
40,0.8119977594370138,0.8429645536987314,0.709241561662163,Kilosort4,20250812_200717253234,0.25
41,0.8443197394025728,0.8093923922367324,0.7076335127190992,Kilosort4,20250812_200717690771,0.25
38,0.8242546098222541,0.8240768861541083,0.703506446749881,Kilosort4,20250812_200715926247,0.25
36,0.8344038474554767,0.8098350779888399,0.7021465713334503,Kilosort4,20250812_200640881919,0.25
30,0.8230148210896455,0.823394221323249,0.7019693237841483,Kilosort4,20250812_200639626378,0.25
43,0.7639962455106859,0.8906576206400467,0.6983167445890024,Kilosort4,20250812_200718239188,0.25
18,0.8176565367398183,0.7877824584831512,0.6979626154405175,EMUsort,20250812_180030216433,0.25
37,0.8426069177165207,0.7907017097993613,0.6924250063219947,Kilosort4,20250812_200641364911,0.25
10,0.7774184615085661,0.831402672006235,0.6850151534095911,EMUsort,20250812_175954414925,0.25
7,0.7862143214989951,0.8304810343378397,0.6847246786524301,EMUsort,20250812_175953600061,0.25
20,0.7328974603491901,0.8851402908392061,0.671084248329762,EMUsort,20250812_180030661857,0.25
32,0.7884117624528116,0.7947171417297157,0.6554274422275197,Kilosort4,20250812_200640324635,0.25
28,0.7444284530263916,0.8429556949535334,0.6486652796872099,Kilosort4,20250812_200639159007,0.25
39,0.7745111201875383,0.8300632118379502,0.6445097982376817,Kilosort4,20250812_200717204114,0.25
23,0.8152819119669028,0.7413955312850706,0.6388337521666324,EMUsort,20250812_180031083668,0.25
49,0.7619024232422124,0.7333569835723719,0.5999046222931079,Kilosort4,20250812_200720509209,0.25
22,0.755427029166313,0.7067036870391973,0.5773357284520749,EMUsort,20250812_180030717735,0.25
50,0.8636994230329496,0.873420199820897,0.7672101905565104,MUedit,run_00,0.25
51,0.6517074029514965,0.7431972331705999,0.5513440622079415,MUedit,run_10,0.25
52,0.8095002587823682,0.8154751750987831,0.6878288810737948,MUedit,run_01,0.25
53,0.7134862348963392,0.8127112925929767,0.6115860462211407,MUedit,run_11,0.25
